# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1769817200875000000,1769817260952000000,0
AWTEventQueue.eventsDispatched,1769817200875000000,1769817260952000000,0
FlushQueue.queueSize90P,1769817200875000000,1769817260952000000,0
NonBlockingReadAction.failedExecutionsCount,1769817200875000000,1769817260952000000,11
FilePageCacheLockFree.totalPagesRequested,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1769817200875000000,1769817260952000000,0
FilePageCache.pageFastCacheHits,1769817200875000000,1769817260952000000,18389
FilePageCache.disposedBuffers,1769817200875000000,1769817260952000000,3
FilePageCacheLockFree.totalBytesWritten,1769817200875000000,1769817260952000000,0
FilePageCache.pageLoads,1769817200875000000,1769817260952000000,155
FilePageCacheLockFree.housekeeperTimeSpentMs,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.totalPagesWriteMs,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.heapBytesInUse,1769817200875000000,1769817260952000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1769817200875000000,1769817260952000000,12519
DirectByteBufferAllocator.hits,1769817200875000000,1769817260952000000,3
FilePageCacheLockFree.totalBytesRead,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.totalPagesAllocated,1769817200875000000,1769817260952000000,0
FilePageCache.totalPageDisposalsUs,1769817200875000000,1769817260952000000,694
FilePageCacheLockFree.totalPagesHandedOver,1769817200875000000,1769817260952000000,0
StreamlinedBlobStorage.recordsDeleted,1769817200875000000,1769817260952000000,59
FilePageCache.pageLoadsAboveSizeThreshold,1769817200875000000,1769817260952000000,0
MappedFileStorage.totalBytesMapped,1769817200875000000,1769817260952000000,261357568
FilePageCacheLockFree.totalPagesRequestsMs,1769817200875000000,1769817260952000000,0
FilePageCacheLockFree.totalPagesReclaimed,1769817200875000000,1769817260952000000,0
FilePageCache.maxCacheSizeInBytes,1769817200875000000,1769817260952000000,155222016
StorageLockContext.competingThreads.90P,1769817200875000000,1769817260952000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1769817200875000000,1769817260952000000,155222016
StorageLockContext.competingThreads.avg,1769817200875000000,1769817260952000000,0.0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1769817200875000000,1769817260952000000,71271204
MappedFileStorage.storages,1769817200875000000,1769817260952000000,16
FilePageCacheLockFree.nativeBytesInUse,1769817200875000000,1769817260952000000,0
DirectByteBufferAllocator.disposed,1769817200875000000,1769817260952000000,0
StorageLockContext.competingThreads.max,1769817200875000000,1769817260952000000,0
